provincename,cityName,confirmedCount,deadCount,dt
湖北,武汉,618,45,2020-01-25
湖北,黄冈,122,2,2020-01-25
湖北,恩施州,17,0,2020-01-25
安徽,蚌埠,1,0,2020-01-25
安徽,宣城,1,0,2020-01-25
安徽,淮北,1,0,2020-01-25
安徽,淮南,1,0,2020-01-25
安徽,黄山,1,0,2020-01-25
北京,外地来京人员,11,0,2020-01-25
北京,海淀,10,0,2020-01-25
北京,朝阳,8,0,2020-01-25
北京,西城,5,0,2020-01-25
北京,昌平,5,0,2020-01-25
湖北,仙桃,11,0,2020-01-25
北京,通州,4,0,2020-01-25
北京,丰台,3,0,2020-01-25
北京,大兴,2,0,2020-01-25
北京,石景山,1,0,2020-01-25
北京,顺义,1,0,2020-01-25
北京,东城,1,0,2020-01-25
山东,临沂,7,0,2020-01-25
山东,青岛,6,0,2020-01-25
山东,威海,4,0,2020-01-25
山东,日照,4,0,2020-01-25
湖北,天门,5,0,2020-01-25
山东,济宁,4,0,2020-01-25
山东,济南,3,0,2020-01-25
山东,德州,3,0,2020-01-25
山东,潍坊,2,0,2020-01-25
山东,烟台,2,0,2020-01-25
山东,聊城,1,0,2020-01-25
山东,滨州,1,0,2020-01-25
山东,菏泽,1,0,2020-01-25
山东,淄博市,1,0,2020-01-25
江西,赣州,7,0,2020-01-25
湖北,襄阳,2,0,2020-01-25
江西,抚州,6,0,2020-01-25
江西,上饶,6,0,2020-01-25
江西,宜春,5,0,2020-01-25
江西,南昌,4,0,2020-01-25
江西,萍乡,2,0,2020-01-25
江西,九江,2,0,2020-01-25
江西,吉安,2,0,2020-01-25
江西,新余,1,0,2020-01-25
江西,景德镇,1,0,2020-01-25
广西,桂林,11,0,2020-01-25
湖北,鄂州,1,0,2020-01-25
广西,北海,7,0,2020-01-25
广西,柳州,4,0,2020-01-25
广西,河池,3,0,2020-01-25
广西,梧州,2,0,2020-01-25
广西,百色,2,0,2020-01-25
广西,防城港,2,0,2020-01-25
广西,南宁,1,0,2020-01-25
广西,玉林,1,0,2020-01-25
江苏,苏州,7,0,2020-01-25
江苏,南京,7,0,2020-01-25
浙江,杭州,27,0,2020-01-25
江苏,常州,5,0,2020-01-25
江苏,连云港,3,0,2020-01-25
江苏,无锡,2,0,2020-01-25
江苏,南通,2,0,2020-01-25
江苏,扬州,1,0,2020-01-25
江苏,盐城,1,0,2020-01-25
江苏,宿迁,1,0,2020-01-25
江苏,淮安,1,0,2020-01-25
江苏,泰州,1,0,2020-01-25
四川,成都,16,0,2020-01-25
浙江,台州,21,0,2020-01-25
四川,绵阳,2,0,2020-01-25
四川,广安,2,0,2020-01-25
四川,遂宁,2,0,2020-01-25
四川,德阳,1,0,2020-01-25
四川,雅安,1,0,2020-01-25
四川,达州,1,0,2020-01-25
四川,自贡,1,0,2020-01-25
四川,泸州,1,0,2020-01-25
四川,内江,1,0,2020-01-25
海南,三亚,6,0,2020-01-25
浙江,温州,18,0,2020-01-25
海南,万宁,5,0,2020-01-25
海南,海口,3,0,2020-01-25
海南,儋州,3,0,2020-01-25
海南,临高县,1,0,2020-01-25
海南,陵水县,1,0,2020-01-25
辽宁,沈阳,5,0,2020-01-25
辽宁,大连,4,0,2020-01-25
辽宁,朝阳,2,0,2020-01-25
辽宁,铁岭,2,0,2020-01-25
辽宁,葫芦岛,2,0,2020-01-25
浙江,宁波,13,0,2020-01-25
辽宁,本溪,1,0,2020-01-25
辽宁,营口,1,0,2020-01-25
辽宁,丹东,1,0,2020-01-25
辽宁,盘锦,1,0,2020-01-25
福建,福州,6,0,2020-01-25
福建,厦门,3,0,2020-01-25
福建,泉州,3,0,2020-01-25
福建,漳州,3,0,2020-01-25
福建,宁德,2,0,2020-01-25
福建,三明,1,0,2020-01-25
浙江,嘉兴,8,0,2020-01-25
黑龙江,哈尔滨,8,0,2020-01-25
黑龙江,大庆,3,0,2020-01-25
黑龙江,绥化,2,1,2020-01-25
黑龙江,牡丹江,1,0,2020-01-25
黑龙江,齐齐哈尔,1,0,2020-01-25
陕西,西安,4,0,2020-01-25
陕西,咸阳,3,0,2020-01-25
陕西,安康,3,0,2020-01-25
陕西,铜川,3,0,2020-01-25
陕西,延安,1,0,2020-01-25
湖北,孝感,55,0,2020-01-25
浙江,绍兴,5,0,2020-01-25
陕西,商洛,1,0,2020-01-25
河北,石家庄,5,0,2020-01-25
河北,保定,3,0,2020-01-25
河北,沧州,2,1,2020-01-25
河北,邯郸市,2,0,2020-01-25
河北,承德,1,0,2020-01-25
云南,昆明,4,0,2020-01-25
云南,丽江,2,0,2020-01-25
云南,西双版纳,1,0,2020-01-25
云南,曲靖,1,0,2020-01-25
浙江,金华,3,0,2020-01-25
云南,玉溪,1,0,2020-01-25
云南,红河,1,0,2020-01-25
云南,大理,1,0,2020-01-25
山西,晋中,2,0,2020-01-25
山西,太原,2,0,2020-01-25
山西,运城,2,0,2020-01-25
山西,阳泉,1,0,2020-01-25
山西,大同,1,0,2020-01-25
